# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Sep 10 18:23:25 2020
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN cb_flag:        Circumbinary Flag
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_occdep:      Occultation Depth [%]
# COLUMN pl_orbtper:     Epoch of Periastron [days]
# COLUMN pl_orblper:     Argument of Periastron [deg]
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN pl_projobliq:   Projected Obliquity [deg]
# COLUMN pl_trueobliq:   True Obliquity [deg]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_radv:        Systemic Radial Velocity [km/s]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [decimal]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [decimal]
# COLUMN sy_pm:          Total Proper Motion [mas/yr]
# COLUMN sy_pmra:        Proper Motion (RA) [mas/yr]
# COLUMN sy_pmdec:       Proper Motion (Dec) [mas/yr]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_plx:         Parallax [mas]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_jmag:        J (2MASS) Magnitude
# COLUMN sy_hmag:        H (2MASS) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_umag:        u (Sloan) Magnitude
# COLUMN sy_gmag:        g (Sloan) Magnitude
# COLUMN sy_rmag:        r (Sloan) Magnitude
# COLUMN sy_imag:        i (Sloan) Magnitude
# COLUMN sy_zmag:        z (Sloan) Magnitude
# COLUMN sy_w1mag:       W1 (WISE) Magnitude
# COLUMN sy_w2mag:       W2 (WISE) Magnitude
# COLUMN sy_w3mag:       W3 (WISE) Magnitude
# COLUMN sy_w4mag:       W4 (WISE) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_tmag:        TESS Magnitude
# COLUMN sy_kepmag:      Kepler Magnitude
# COLUMN st_nphot:       Number of Photometry Time Series
# COLUMN st_nspec:       Number of Stellar Spectra Measurements
# COLUMN pl_nespec:      Number of Emission Spectroscopy Measurements
#
pl_name,hostname,pl_letter,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,rastr,ra,decstr,dec,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_tmag,sy_kepmag,st_nphot,st_nspec,pl_nespec
HD 219828 c,HD 219828,c,1,2,0,0,2016,4682.00000000,5.790000,12.300,1.090,4640.31800,14.60000,13.700000,0.810200,,,,,0,,,,,,,2464180.000000,145.6800,270.700,,,G0 IV,5807.00,1.61,1.18,0.180,[Fe/H],0.420,4.08,5.690,,2.9000,31.70,,23h18m46.73s,349.6947029,+18d38m44.71s,18.6457524,7.8870329,-5.0750900,6.0372800,73.1140000,13.6489000,8.6600000,8.0400000,6.8710000,6.6140000,6.5300000,,,,,,6.4590000,6.4780000,6.5440000,6.4480000,7.8833800,7.4597000,,1,1,0
HD 220074 b,HD 220074,b,1,1,0,0,2012,672.09998000,1.600000,12.200,1.090,5288.69120,16.64000,16.000000,0.140000,,,,,0,,,,,,,2451158.200000,323.0000,230.800,,,M2 III,3787.00,54.92,2.20,-0.250,[Fe/H],2.750,1.30,4.500,,3.0000,,-36.89,23h20m14.40s,350.0599827,+61d58m12.38s,61.9701062,9.4479097,7.8068000,-5.3213600,324.5400000,3.0542700,8.1090000,6.4060700,3.1820000,2.3730000,2.0060000,,,,,,0.3990000,0.7540000,2.1680000,2.0300000,5.6273700,4.6872300,,1,0,0
HD 220197 b,HD 220197,b,1,1,0,0,2018,1728.00000000,2.729000,9.320,0.832,63.56600,0.20000,0.431000,0.187000,,,,,0,,,,,,,2456636.300000,159.0110,3.780,,,,5683.00,0.98,0.91,-0.550,[Fe/H],-0.044,4.42,10.165,,1.5000,19.00,,23h21m58.73s,350.4946927,+16d37m56.39s,16.6323305,410.0980433,407.2480000,-48.2646000,64.4110000,15.4965000,9.5180000,8.9200000,7.6980000,7.3620000,7.3490000,,,,,,,,,,8.7448100,8.3161000,,1,0,0
HD 220689 b,HD 220689,b,1,1,0,0,2012,2266.40000000,3.396000,13.700,1.230,355.33394,1.11800,0.759000,0.054000,,,,,0,,,,,,,2457532.900000,112.8340,17.120,,,G3 V,5921.00,1.07,1.02,-0.070,[Fe/H],0.093,4.36,4.586,,2.3000,29.00,12.19,23h25m52.97s,351.4707282,-20d37m00.45s,-20.6167923,178.1892852,-15.7371000,-177.4930000,46.8778000,21.3033000,8.3560000,7.7400000,6.6530000,6.4070000,6.3260000,,,,,,6.2960000,6.2340000,6.3240000,6.2610000,7.5943800,7.1869000,,1,0,0
HD 220773 b,HD 220773,b,1,1,0,0,2011,3724.70000000,4.940000,13.600,1.210,460.80000,1.45000,1.010000,0.510000,,,,,0,,,,,,,2453866.400000,259.0000,20.000,,,F9,5940.00,,1.16,0.090,[Fe/H],,4.24,4.400,,,,,23h26m27.47s,351.6144715,+08d38m34.39s,8.6428871,223.9420602,27.1187000,-222.2940000,50.5103000,19.7694000,7.8030000,7.1083100,6.0010000,5.7120000,5.6510000,,,,,,5.7100000,5.5680000,5.6670000,5.6810000,6.9459500,6.5391000,,1,0,0
HD 220842 b,HD 220842,b,2,1,0,0,2016,218.47000000,0.740000,13.100,1.170,1010.69940,3.18000,2.470000,0.404000,,,,,0,,,,,,,2456624.800000,-134.9000,108.100,,,F8,5960.00,,1.13,-0.170,[Fe/H],,4.24,,,3.4000,,-22.57,23h26m36.82s,351.6534162,+56d53m13.71s,56.8871415,168.6008408,-89.1230000,143.1200000,64.6498000,15.4391000,8.5730000,7.9800000,6.8470000,6.6270000,6.5550000,,,,,,6.4820000,6.4800000,6.5320000,6.5460000,7.8339800,7.4314000,,1,0,0
HD 221287 b,HD 221287,b,1,1,0,0,2007,456.10000000,1.250000,13.100,1.170,982.05000,3.09000,2.400000,0.080000,,,,,0,,,,,,,2453263.000000,98.0000,71.000,,,,6304.00,,1.25,-0.030,[Fe/H],0.220,4.43,1.300,,,,,23h31m20.69s,352.8362230,-58d12m35.11s,-58.2097540,181.2374221,181.1600000,-5.2969400,55.9231000,17.8529000,8.2700010,7.8200000,6.8430000,6.6160000,6.5690000,,,,,,6.5040000,6.4990000,6.5650000,6.5750000,7.6815300,7.3264000,,1,0,0
HD 221416 b,HD 221416,b,1,1,0,0,2019,14.27670000,0.122800,9.170,0.836,60.50000,0.19000,0.431000,0.115000,,,85.750,2458357.014900,0,0.7280,0.083180,9.2072140,8.970000,0.02854,,,-106.0000,14.100,,,,5080.00,2.94,1.21,-0.080,[Fe/H],0.712,3.58,4.900,0.06702,2.8000,,,23h32m07.96s,353.0331863,-21d48m04.32s,-21.8012007,109.5030074,-96.7749000,51.2399000,95.5483000,10.4380000,9.0020000,8.1500000,6.5680000,6.1490000,6.0430000,,,,,,6.0170000,5.9380000,6.0200000,5.9220000,7.9077600,7.3566000,,1,0,0
HD 221420 b,HD 221420,b,1,1,0,0,2019,22482.00000000,18.500000,12.500,1.110,3082.95100,9.70000,8.670000,0.420000,,,,,0,,,,,,,,164.4000,54.700,,,,5830.00,,1.67,0.290,[Fe/H],,4.08,,,,,,23h33m19.66s,353.3319001,-77d23m07.18s,-77.3853286,16.3249779,16.3037000,0.8332290,31.1415000,32.0826000,6.4890000,5.8200000,4.9970000,4.5270000,4.3060000,,,,,,4.3670000,3.8090000,4.2040000,4.2830000,5.6586200,5.2241000,,1,0,0
HD 221585 b,HD 221585,b,1,1,0,0,2016,1173.00000000,2.306000,13.500,1.210,511.70630,1.61000,1.140000,0.123000,,,,,0,,,,,,,2455050.000000,-6.8000,27.900,,,G8 IV,5620.00,,1.19,0.290,[Fe/H],0.422,4.05,6.200,,3.7000,33.30,6.43,23h32m55.05s,353.2293802,+63d09m20.21s,63.1556146,440.2242981,439.1480000,30.7647000,55.8535000,17.8751000,8.2000000,7.4570000,6.1570000,5.8410000,5.7810000,,,,,,,,,,7.2812800,6.8058000,,1,0,0
HD 222076 b,HD 222076,b,1,1,0,0,2016,871.00000000,1.830000,13.500,1.210,495.81480,1.56000,1.110000,0.080000,,,,,0,,,,,,,2454264.000000,241.0000,31.900,,,K0 III,4806.00,4.10,1.07,0.050,[Fe/H],0.929,3.31,,,,,,23h38m07.68s,354.5319820,-70d54m11.69s,-70.9032461,88.8381112,-85.0790000,25.5690000,91.1538000,10.9416000,8.5230000,7.4700000,5.7520000,5.2970000,5.1270000,,,,,,5.0680000,4.9430000,5.0800000,5.0190000,7.1875500,6.5890000,,1,0,0
HD 222155 b,HD 222155,b,1,1,0,0,2011,3999.00000000,5.140000,13.400,1.190,673.79960,2.12000,1.540000,0.160000,,,,,0,,,,,,,2456319.000000,137.0000,24.200,,,G2 V,5701.00,1.85,1.21,-0.180,[Fe/H],0.513,3.99,8.200,,3.2000,,-43.99,23h38m00.61s,354.5025617,+48d59m45.67s,48.9960191,227.8012396,195.3000000,-117.2660000,50.6078000,19.7309000,7.7590000,7.1171600,5.8850000,5.5790000,5.5100000,,,,,,5.4600000,5.3660000,5.5070000,5.4630000,6.9356300,6.4973000,,1,0,0
HD 222582 b,HD 222582,b,2,1,0,0,1999,572.38000000,1.340000,12.600,1.120,2660.23710,8.37000,7.310000,0.730000,,,,,0,,,,,,,2450706.700000,319.0100,276.300,,,,5790.00,1.13,1.12,0.010,[Fe/H],0.112,4.38,,,,,,23h41m51.38s,355.4640788,-05d59m10.46s,-5.9862379,183.1072102,-145.4010000,-111.2960000,42.1586000,23.6913000,8.2860000,7.6800000,6.5220000,6.2430000,6.1730000,,,,,,6.1140000,5.9980000,6.1550000,6.0540000,7.5188900,7.0885000,,1,1,0
HD 224538 b,HD 224538,b,1,1,0,0,2016,1189.10000000,2.280000,12.800,1.140,1897.44510,5.97000,4.970000,0.464000,,,,,0,,,,,,,,22.9200,107.000,,,F9 IV/V,6097.00,1.54,1.34,0.270,[Fe/H],0.470,4.19,2.000,,3.9000,,,23h58m51.94s,359.7164302,-61d35m12.70s,-61.5868613,85.3387125,82.7986000,-20.6661000,79.0608000,12.6196000,8.6490000,8.0600000,7.0410000,6.8310000,6.7600000,,,,,,6.6770000,6.7310000,6.7530000,6.6970000,7.9219200,7.5402000,,1,0,0
HD 224693 b,HD 224693,b,1,1,0,0,2006,26.69040000,0.191000,14.000,1.250,222.48100,0.70000,0.446000,0.104000,,,,,0,,,,,,,2463193.790000,358.0000,39.960,,,G2 V,5894.00,1.93,1.31,0.270,[Fe/H],0.610,4.38,4.120,,3.5000,,,23h59m54.00s,359.9749837,-22d25m40.80s,-22.4279999,149.5555594,147.1250000,26.8533000,93.5015000,10.6666000,8.8510000,8.2300000,7.1360000,6.8820000,6.8080000,,,,,,6.7120000,6.7640000,6.7810000,6.5670000,8.0852800,7.6726000,,2,3,0
HD 22781 b,HD 22781,b,1,1,0,0,2011,528.07000000,1.167000,12.300,1.100,4338.20000,13.65000,12.800000,0.819100,,,,,0,,,,,,,2454881.400000,315.9200,726.400,,,K1,5027.00,,0.75,-0.370,[Fe/H],,4.60,4.800,,1.7300,,8.25,03h40m49.57s,55.2065581,+31d49m33.19s,31.8258855,102.6165600,40.5763000,-94.2535000,32.6034000,30.6433000,9.6270000,8.7800000,7.1490000,6.6860000,6.6070000,,,,,,6.5700000,6.6060000,6.6030000,6.5830000,8.5244500,7.9707000,,1,0,0
HD 23079 b,HD 23079,b,1,1,0,0,2001,730.59998000,1.600000,13.200,1.180,829.53630,2.61000,1.980000,0.100000,,,,,0,,,,,,,2450492.000000,55.0000,54.900,,,,5974.00,1.07,1.12,-0.130,[Fe/H],0.119,4.43,,,2.9900,,,03h39m42.77s,54.9281897,-52d54m58.44s,-52.9162344,213.7394128,-192.8770000,-92.1032000,33.4591000,29.8583000,7.6340000,7.1200000,6.0300000,5.8140000,5.7050000,,,,,,8.1630000,8.3490000,9.7630000,6.2550000,6.9623500,6.5652000,,1,0,0
HD 23127 b,HD 23127,b,1,1,0,0,2006,1211.17000000,2.370000,13.500,1.210,485.32641,1.52700,1.080000,0.406000,,,,,0,,,,,,,2457266.600000,181.8290,27.720,,,G2 V,5843.00,1.49,1.21,0.290,[Fe/H],0.368,4.15,4.508,,,33.00,,03h39m23.79s,54.8491271,-60d04m38.02s,-60.0772290,160.7027565,73.6214000,142.8470000,93.8555000,10.6258000,9.2570000,8.5800000,7.4230000,7.1820000,7.0870000,,,,,,6.9170000,7.0590000,7.0530000,6.9900000,8.4201900,7.9830000,,1,0,0
HD 231701 b,HD 231701,b,1,1,0,0,2007,141.63000000,0.567000,13.700,1.220,359.14790,1.13000,0.768000,0.130000,,,,,0,,,,,,,2463330.600000,68.0000,39.200,,,F8 V,6101.00,1.53,1.21,0.050,[Fe/H],0.470,4.31,3.430,,4.0000,12.20,,19h32m04.23s,293.0176220,+16d28m27.68s,16.4743566,65.2671332,63.3631000,15.6498000,108.8770000,9.1560200,9.4870010,8.9700000,7.9520000,7.7190000,7.6570000,,,,,,7.6040000,7.6550000,7.6450000,7.4380000,8.8305100,8.4582600,,1,1,0
HD 233604 b,HD 233604,b,1,1,0,0,2013,192.00000000,0.747000,12.700,1.130,2089.64400,6.57500,5.610000,0.050000,,,,,0,,,,,,,2453022.000000,281.0000,177.800,,,K5,4791.00,10.90,1.50,-0.360,[Fe/H],1.750,2.55,2.400,,2.0000,,,09h09m48.84s,137.4535054,+53d34m05.53s,53.5682016,19.8336919,18.6253000,-6.8171500,847.0580000,1.1512300,11.3320000,10.2910000,8.6600000,8.1310000,7.9790000,14.6580000,10.8210000,10.0365000,9.8539600,10.3526000,7.8970000,8.0140000,7.8880000,7.8190000,10.1054000,9.4989000,,0,0,0
HD 233832 b,HD 233832,b,2,1,0,0,2018,2058.00000000,2.827000,13.500,1.200,565.73740,1.78000,1.260000,0.359000,,,,,0,,,,,,,2456815.800000,283.9030,38.290,,,,4981.00,0.68,0.71,-0.660,[Fe/H],-0.523,4.49,5.417,2.87189,0.8000,41.00,,11h26m04.72s,171.5196515,+50d22m34.72s,50.3763099,489.9546157,-473.9600000,124.1670000,58.7420000,16.9952000,11.2640000,10.1500000,8.5440000,8.0420000,8.0130000,,,,,,,,,,9.9455700,9.3944000,,1,0,0
HD 23472 b,HD 23472,b,1,2,0,0,2019,17.66700000,0.121000,2.008,,17.92000,0.05638,12.200000,0.000000,,,,2458325.325928,0,,0.073060,2.6959740,,,,,0.0000,5.330,,,,4813.00,0.73,0.75,,,-0.636,4.38,,,,,,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,111.5773854,-102.5710000,-43.9170000,39.0341000,25.5897000,10.6940000,9.7300000,7.8650000,7.3470000,7.2070000,,,,,,7.0030000,7.2220000,7.1830000,7.0390000,9.3847600,8.7513000,,1,0,0
HD 23472 c,HD 23472,c,1,2,0,0,2019,29.62500000,0.170000,1.837,,17.18000,0.05405,15.200000,0.000000,12.08,475,,2458340.303955,0,,0.063880,2.9458850,,,,,0.0000,4.290,,,,4813.00,0.73,0.75,,,-0.636,4.38,,,,,,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,111.5773854,-102.5710000,-43.9170000,39.0341000,25.5897000,10.6940000,9.7300000,7.8650000,7.3470000,7.2070000,,,,,,7.0030000,7.2220000,7.1830000,7.0390000,9.3847600,8.7513000,,1,0,0
HD 23596 b,HD 23596,b,2,1,0,0,2003,1561.00000000,2.770000,12.500,1.120,2870.00490,9.03000,8.070000,0.270000,,,,,0,,,,,,,2451604.000000,272.6000,127.000,,,F8 V,6040.00,1.53,1.47,0.280,[Fe/H],0.458,4.23,,0.39478,4.2000,,,03h48m00.45s,57.0018601,+40d31m50.63s,40.5307308,57.1301860,53.0070000,21.3100000,52.0018000,19.2012000,7.8520000,7.2612200,6.1730000,5.9620000,5.8740000,,,,,,5.9090000,5.8160000,5.8990000,5.8820000,7.1035600,6.7060000,,1,0,0
HD 238914 b,HD 238914,b,1,1,0,0,2018,4100.00000000,5.700000,12.800,1.140,1906.98000,6.00000,5.000000,0.560000,,,,,0,,,,,,,2460540.500000,318.0000,71.000,,,,4769.00,12.73,1.47,-0.250,[Fe/H],1.850,2.37,,,2.5000,257.00,-6.72,18h38m20.21s,279.5842102,+59d15m13.97s,59.2538819,6.4573886,-3.8936000,5.1514800,519.4520000,1.8966600,9.8140000,8.7700010,6.9410000,6.4300000,6.3250000,,,,,,6.2900000,6.2760000,6.2910000,6.2180000,8.4970000,7.8841000,,1,0,0
HD 240210 b,HD 240210,b,1,1,0,0,2009,501.75000000,1.160000,12.800,1.140,1655.82000,5.21000,4.340000,0.150000,,,,,0,,,,,,,2454487.380000,277.5900,161.890,,,K3 III,4297.00,,0.82,-0.180,[Fe/H],1.550,2.31,,,1.0000,,,23h10m29.26s,347.6219227,+57d01m46.13s,57.0294818,19.7316626,18.4923000,6.8828300,372.4050000,2.6569800,9.8850000,8.2700010,5.3060000,4.5870000,4.3880000,15.1321000,12.4375000,12.1420000,11.3934000,11.0008000,4.2580000,4.0090000,4.3040000,4.1870000,7.6447600,6.7338500,,0,0,0
HD 240237 b,HD 240237,b,1,1,0,0,2011,745.70001000,1.920000,12.200,1.090,5050.31870,15.89000,15.300000,0.400000,,,,,0,,,,,,,2454292.500000,108.1000,91.500,,,K2 III,3926.00,71.23,8.76,-0.250,[Fe/H],2.490,1.67,,,,,,23h15m42.22s,348.9259334,+58d02m35.60s,58.0432233,4.2946200,-0.2025670,-4.2898400,933.3770000,1.0436600,9.9330000,8.1900000,5.1050000,4.4720000,4.3190000,,,,,,3.9780000,3.9090000,4.0420000,3.9730000,7.4931700,6.5438000,,1,0,0
HD 24040 b,HD 24040,b,1,1,0,0,2006,3668.00000000,4.920000,13.000,1.160,1226.82380,3.86000,3.070000,0.040000,,,,,0,,,,,,,2456670.000000,67.0000,47.400,,,,5802.00,1.30,1.11,0.190,[Fe/H],0.276,4.26,,0.55399,,,,03h50m23.09s,57.5962104,+17d28m31.03s,17.4752873,275.3819226,113.2150000,-251.0330000,46.6224000,21.4203000,8.1700000,7.5150000,6.2790000,6.0380000,5.9690000,,,,,,6.0100000,5.9150000,5.9890000,5.9290000,7.3347600,6.9054000,8.326,1,3,0
HD 24064 b,HD 24064,b,1,1,0,0,2015,535.59998000,1.290000,12.300,1.100,4096.82870,12.89000,12.100000,0.350000,,,,,0,,,,,,,2455278.300000,250.8000,251.000,,,K0,4052.00,40.00,1.61,-0.490,[Fe/H],2.590,1.44,9.000,,3.5000,,,03h56m36.24s,59.1510071,+74d04m48.28s,74.0800789,17.8646100,-14.5680000,10.3401000,300.2470000,3.3018100,8.3960000,6.7461600,4.3170000,3.4320000,3.1300000,,,,,,3.0890000,2.9140000,3.0580000,2.9660000,6.1783900,5.3493000,,1,0,0
HD 24085 b,HD 24085,b,1,1,0,0,2019,2.04550000,0.034000,3.460,0.309,11.80000,0.03713,1.570000,0.220000,,,,,0,,,,,,,,8.9200,5.400,,,G0 V,6034.00,,1.22,,,,,,,,,,03h45m01.52s,56.2563447,-70d01m28.27s,-70.0245193,97.7958018,-9.2485700,-97.3575000,54.9004000,18.1859000,8.1640000,7.5700000,6.4830000,6.2220000,6.1720000,,,,,,6.1380000,6.0120000,6.1730000,6.1370000,7.4249600,7.0252000,,1,0,0
HD 25015 b,HD 25015,b,1,1,0,0,2019,6019.32000000,6.190000,12.900,1.150,1423.87840,4.48000,3.640000,0.390000,,,,,0,,,,,,,2455852.000000,77.7000,60.100,,,K1 V,5160.00,0.83,0.86,0.040,[Fe/H],-0.356,4.40,4.000,,3.4850,13.60,,03h57m44.05s,59.4335463,-20d16m02.40s,-20.2673347,159.3723087,118.7150000,106.3310000,37.4330000,26.6856000,9.7900000,8.8700000,7.3140000,6.9030000,6.8060000,,,,,,6.7460000,6.7810000,6.7740000,6.8060000,8.5987600,8.0541000,,1,0,0
HD 25171 b,HD 25171,b,2,1,0,0,2010,1802.29000000,2.971000,13.900,1.240,290.81445,0.91500,0.595000,0.042000,,,,,0,,,,,,,2457105.700000,159.5430,14.560,,,F8 V,6125.00,1.23,1.08,-0.120,[Fe/H],0.276,4.26,4.802,,1.0000,22.00,43.60,03h55m49.79s,58.9574779,-65d11m10.77s,-65.1863239,165.4128576,143.9430000,81.4974000,55.6146000,17.9520000,8.2800000,7.7700000,6.7650000,6.5700000,6.4890000,,,,,,6.4260000,6.3710000,6.4680000,6.4420000,7.6380000,7.2693000,,1,0,0
HD 2638 b,HD 2638,b,3,1,0,0,2005,3.44420000,0.040000,14.300,1.280,133.48860,0.42000,0.251000,0.000000,,,,,0,,,,,,,2453323.206000,0.0000,67.400,,,G5,5186.00,0.94,0.77,0.130,[Fe/H],-0.330,4.38,3.000,,1.1000,,9.63,00h29m59.76s,7.4990038,-05d45m53.86s,-5.7649600,247.3852499,-107.0190000,-223.0390000,54.9621000,18.1656000,10.3070000,9.4400000,7.8580000,7.4170000,7.3080000,,,,,,7.1540000,7.2800000,7.2390000,7.1020000,9.1927610,8.6390000,,1,0,0
HD 2685 b,HD 2685,b,1,1,0,0,2019,4.12688000,0.056800,16.141,1.440,371.86110,1.17000,0.486000,0.091000,1454.03,2061,89.252,2458325.782970,0,,1.006855,4.4926860,7.697400,0.09467,,,184.3600,117.400,,,,6801.00,1.56,1.43,0.020,[Fe/H],0.668,4.21,1.310,,15.4000,,,00h29m18.94s,7.3289156,-76d18m14.52s,-76.3040320,7.5683276,-2.9700400,6.9612100,196.8520000,5.0510900,10.0470000,9.5950000,8.8250000,8.6510000,8.5950000,,,,,,8.5520000,8.5750000,8.5360000,8.2610000,9.5202500,9.2205000,,0,0,0
HD 26965 b,HD 26965,b,3,1,0,0,2018,42.37800000,,2.840,0.254,8.47000,0.02665,2.030000,0.040000,,,,,0,,,,,,,,148.9690,1.810,,,K0 V,5072.00,0.87,0.78,-0.420,[Fe/H],-0.345,4.45,6.900,,,,,04h15m13.98s,63.8082666,-07d40m03.37s,-7.6676027,4089.7570973,-2240.5200000,-3421.4300000,5.0354500,198.5660000,,4.4201800,3.0130000,2.5940000,2.4980000,,,,,,9.5940000,8.0150000,8.8890000,8.3530000,4.1866500,3.6546000,,1,3,0
HD 27442 b,HD 27442,b,2,1,0,0,2000,428.10000000,1.271000,13.500,1.210,495.80000,1.56000,1.110000,0.060000,,,,,0,,,,,,,2450836.000000,216.0000,32.200,,,,4846.00,,1.23,0.420,[Fe/H],,3.78,10.000,,2.8000,,,04h16m28.93s,64.1205476,-59d18m10.36s,-59.3028771,174.6127895,-48.3024000,-167.7990000,18.2704000,54.7051000,5.5180000,4.4400000,2.3740000,1.8140000,1.7450000,,,,,,,,,,4.1453200,3.5302000,,1,0,0
HD 27631 b,HD 27631,b,1,1,0,0,2012,2198.14000000,3.242000,13.600,1.210,474.83802,1.49400,1.040000,0.141000,,,,,0,,,,,,,2456086.000000,122.6420,24.510,,,G3 IV-V,5737.00,0.92,0.94,-0.120,[Fe/H],-0.056,4.46,4.010,,1.3400,31.00,21.11,04h19m45.41s,64.9392168,-41d57m38.38s,-41.9606604,100.8054119,-41.2292000,-91.9885000,50.2862000,19.8573000,8.9150000,8.2600000,7.0230000,6.7190000,6.6460000,,,,,,6.6380000,6.6160000,6.6370000,6.6140000,8.0847800,7.6438000,,1,0,0
HD 27894 b,HD 27894,b,1,3,0,0,2005,18.02000000,0.125000,14.100,1.250,211.35695,0.66500,0.414000,0.047000,,,,,0,,,,,,,2453275.460000,132.2000,59.800,,,K2 V,4875.00,,0.80,0.300,[Fe/H],-0.449,4.22,3.900,,1.5000,44.00,82.90,04h20m47.42s,65.1975693,-59d24m34.84s,-59.4096776,325.7145651,182.3130000,269.9110000,43.8214000,22.7910000,10.3130000,9.3600000,7.6390000,7.1740000,7.0710000,,,,,,,,,,9.0657300,8.4643000,,1,0,0
HD 27894 c,HD 27894,c,1,3,0,0,2017,36.07000000,0.198000,8.240,0.735,51.48846,0.16200,0.506000,0.015000,,,,,0,,,,,,,,44.2000,11.570,,,K2 V,,,0.80,0.300,[Fe/H],,,,,,44.00,,04h20m47.42s,65.1975693,-59d24m34.84s,-59.4096776,325.7145651,182.3130000,269.9110000,43.8214000,22.7910000,10.3130000,9.3600000,7.6390000,7.1740000,7.0710000,,,,,,,,,,9.0657300,8.4643000,,1,0,0
HD 27894 d,HD 27894,d,1,3,0,0,2017,5174.00000000,5.448000,12.800,1.140,1721.04945,5.41500,4.510000,0.389000,,,,,0,,,,,,,,353.9000,79.760,,,K2 V,,,0.80,0.300,[Fe/H],,,,,,44.00,,04h20m47.42s,65.1975693,-59d24m34.84s,-59.4096776,325.7145651,182.3130000,269.9110000,43.8214000,22.7910000,10.3130000,9.3600000,7.6390000,7.1740000,7.0710000,,,,,,,,,,9.0657300,8.4643000,,1,0,0
